Short Stay,Penguins,Longest rivers,Island,Seaside,Historical,Speaking Spanish,Food,Dream Location
No,No,No,No,No,Yes,Yes,Yes,Spain
Yes,No,No,Yes,Yes,Yes,No,Yes,Greece
Yes,No,No,No,No,Yes,Yes,Yes,Spain
Yes,No,No,Yes,Yes,Yes,No,Yes,Greece
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
No,No,Yes,No,No,Yes,No,Yes,Egypt
No,Yes,No,No,Yes,No,No,Yes,Australia
No,No,No,No,No,Yes,Yes,Yes,Spain
Yes,No,Yes,No,No,Yes,Yes,No,Spain
No,No,No,No,Yes,Yes,No,Yes,Greece
No,No,No,Yes,Yes,No,No,No,Australia
No,No,Yes,No,No,Yes,No,No,Egypt
No,Yes,No,No,Yes,No,No,No,Australia
No,Yes,No,No,Yes,No,No,Yes,Australia
Yes,No,No,No,No,Yes,No,Yes,Spain
No,Yes,No,Yes,No,No,No,Yes,Australia
No,Yes,No,No,Yes,No,No,No,Australia
Yes,No,No,No,No,Yes,Yes,Yes,Spain
No,Yes,No,No,Yes,Yes,Yes,Yes,Greece
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
No,Yes,Yes,Yes,Yes,No,Yes,Yes,Argentina
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
No,No,No,Yes,Yes,No,No,No,Australia
Yes,No,No,Yes,No,No,No,Yes,Greece
No,Yes,Yes,Yes,Yes,No,Yes,Yes,Argentina
No,No,Yes,No,No,Yes,No,Yes,Egypt
Yes,No,No,Yes,Yes,Yes,No,No,Greece
No,No,No,No,Yes,No,No,Yes,Spain
No,No,No,Yes,Yes,Yes,No,No,Greece
Yes,No,No,No,No,Yes,Yes,Yes,Spain
No,No,Yes,No,No,No,No,No,Egypt
No,No,No,No,Yes,No,No,Yes,Spain
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
No,Yes,Yes,Yes,Yes,No,Yes,Yes,Argentina
No,Yes,Yes,No,No,No,No,Yes,Australia
No,Yes,No,No,No,Yes,Yes,Yes,Argentina
No,No,Yes,No,No,No,No,Yes,Egypt
No,Yes,No,Yes,No,No,No,Yes,Australia
Yes,No,No,Yes,No,No,No,No,Greece
No,Yes,No,No,No,No,Yes,Yes,Argentina
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
Yes,No,No,Yes,No,No,No,No,Greece
Yes,No,Yes,Yes,Yes,Yes,No,No,Greece
Yes,No,No,Yes,Yes,Yes,No,Yes,Greece
No,No,No,Yes,No,No,Yes,No,Greece
No,No,Yes,No,No,No,No,Yes,Egypt
Yes,No,Yes,No,No,Yes,No,Yes,Egypt
No,No,No,Yes,No,No,No,Yes,Greece
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
No,No,No,No,Yes,No,No,Yes,Spain
No,Yes,No,No,Yes,No,No,Yes,Australia
Yes,No,No,No,No,Yes,Yes,Yes,Spain
No,Yes,No,No,No,No,Yes,Yes,Argentina
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
No,No,Yes,No,No,No,No,Yes,Egypt
No,No,Yes,No,No,Yes,No,Yes,Egypt
Yes,Yes,No,Yes,No,No,No,Yes,Australia
No,Yes,Yes,No,No,No,Yes,Yes,Argentina
No,No,No,No,Yes,No,No,No,Spain
No,No,No,Yes,No,No,No,Yes,Greece
No,No,Yes,No,No,Yes,No,Yes,Egypt
No,No,Yes,No,No,No,No,No,Egypt
No,No,Yes,No,Yes,Yes,No,No,Egypt
Yes,No,No,Yes,Yes,Yes,No,Yes,Greece
No,Yes,Yes,Yes,Yes,No,Yes,Yes,Argentina
No,No,Yes,No,No,Yes,No,Yes,Egypt
Yes,No,No,No,No,Yes,Yes,Yes,Spain
Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Argentina
No,Yes,No,Yes,Yes,No,No,Yes,Australia
No,No,No,Yes,Yes,Yes,No,Yes,Greece
No,Yes,Yes,Yes,Yes,No,Yes,Yes,Argentina
No,No,Yes,No,No,No,No,Yes,Egypt
No,No,No,Yes,Yes,Yes,No,Yes,Greece
No,No,No,No,Yes,Yes,No,Yes,Greece
No,No,Yes,No,No,No,No,Yes,Egypt
No,Yes,Yes,No,No,Yes,Yes,Yes,Argentina
No,No,No,No,No,Yes,Yes,Yes,Spain
No,Yes,No,Yes,Yes,No,No,Yes,Australia
Yes,No,No,No,No,Yes,Yes,Yes,Spain
No,No,No,Yes,Yes,No,No,Yes,Australia
No,Yes,No,Yes,Yes,No,No,Yes,Australia
No,Yes,No,No,Yes,No,No,No,Australia
No,No,No,No,Yes,No,No,Yes,Spain
No,Yes,No,Yes,No,No,No,Yes,Australia
No,No,No,No,Yes,No,No,Yes,Spain
No,Yes,No,Yes,No,No,No,Yes,Australia
No,No,Yes,No,No,Yes,No,No,Egypt
Yes,No,No,No,No,Yes,Yes,Yes,Spain
No,No,Yes,No,No,Yes,No,Yes,Egypt
No,No,Yes,Yes,No,Yes,No,Yes,Egypt
